Tool Name,Story,Works with,No.of actions,Author
Okta,Lookup user in Okta,Okta,17,Michael Tolan
Okta,Export recent Okta logs to AWS S3,"AWS, Okta",10,null
Okta,Lookup user in multiple platforms,"BambooHR, Okta, Slack, Tines",11,Michael Tolan
Okta,Receive password breach alerts from SpyCloud and secure accounts,"CrowdStrike, Jira Software, Okta, SpyCloud",23,Conor Dunne
Okta,Manage Okta apps using pages in Tines,Okta,67,Michael Tolan
Okta,Respond to Okta alerts with Mattermost & Jira,"Jira Software, Mattermost, Okta",20,null
Okta,Disable new MFA devices in Okta,Okta,6,Michael Tolan
Okta,Report and lock lost devices in Jamf with Okta SSO,"Jamf Pro, Jira Software, Okta, Slack",28,Sakil Khan
Okta,Refresh Okta zones with latest active Zscaler IP ranges,"Okta, Zscaler",16,null
Okta,Investigate and remediate multiple denied MFA push requests in Okta,"IPQualityScore, Microsoft Teams, Okta, Tines, VirusTotal",31,Claudia Kinsella
Okta,Track Okta Active Directory agents using Records and Microsoft Teams,"Microsoft Teams, Okta, Tines",11,Taylor Rainwater
Okta,Monitor Okta for invalid sign-in attempts and resolve via Slack,"Okta, PagerDuty, Slack",14,null
Okta,Invalidate authentication sessions for a user in Okta,Okta,14,Conor Dunne
Okta,Backup and download logs from AWS S3 warm storage,"Google, Okta, Tines",45,Conor Dunne
Okta,Request and approve access to new tools with an audit trail,"AWS, GitHub, Jira Software, Okta, Slack",31,Michael Tolan
Okta,Time-based Okta group membership,"Okta, Slack",11,Scott Bean
Okta,Provide a password reset page for Okta,Okta,8,null
Okta,Provide a password reset page in Tines,"Jira Software, Okta, Slack",18,Michael Tolan
Okta,Offboard employees using HiBob,"Google, HiBob, Okta, Slack",18,null
Okta,Verify User Identity through slack with Okta/Yubikey OTP,Okta,15,Pendie Garrett
Okta,Scan Okta logins with Spur for proxies and VPNs and raise a case in Tines,"Okta, Spur, Tines",20,Michael Tolan
Okta,Automate Response to Data Risk with Tines and Code42 Incydr,"Code42, Jira Software, Okta",13,null
Okta,Allow developers to manage OIDC applications in Okta,Okta,8,Florian Baumgartner
Okta,"Retrieve Code42 alerts, send to Slack and suspend user in Okta","Code42, Okta, Slack",19,null
Okta,Provision AWS and Vault access via Okta,"AWS, HashiCorp, Okta",25,Zach Perry
Okta,Manage Okta user groups and create Jira tickets via Slack,"AWS, Jira Software, Knowbe4, Okta, Slack",140,Sandeep Kumar
Okta,Manage Okta login threshold limit in Jira via Slack,"Jira Software, Okta, Slack",15,null
Okta,Log Axonius users without an Okta connection with BMC Remedy,"Axonius, BMC Helix IT Service Management, Okta",5,null
Okta,Retrieve & enrich Okta alerts from Logz.io,"Logz.io, Okta, Slack",27,null
Okta,Assign New Okta Administrator Role to Okta from BambooHR through Opal,"BambooHR, Jira Software, Okta, Opal",16,null
Okta,Sync Okta groups with Fleet labels,"Fleet, Okta",15,Dave Herder
Microsoft,Cleanup Microsoft Outlook inbox with Tines AI,"Microsoft, Microsoft Outlook",47,Michael Lynn
Microsoft,Search Microsoft sign in logs,Microsoft,8,null
Microsoft,Add a new user in Microsoft Entra ID,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",6,Michael Tolan
Microsoft,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"CrowdStrike, Jira Software, Microsoft, Microsoft Teams",12,null
Microsoft,Query Log Analytics for Azure Sentinel alerts,"Microsoft, Microsoft Azure",5,null
Microsoft,Fetch & manage Microsoft Defender alerts,"Jira Software, Microsoft",5,null
Microsoft,Search and delete spam in an Office 365 mailbox,Microsoft,10,null
Microsoft,Send a message to user in Microsoft Teams,"Microsoft, Microsoft Teams",17,null
Microsoft,Manage alerts from Microsoft Defender Cloud,"Microsoft, Microsoft Teams",39,null
Microsoft,Invalidate user's password in Azure Active Directory,"Microsoft, Microsoft Azure",9,null
Microsoft,Invalidate authentication sessions for a user in Azure Entra ID,"Microsoft, Microsoft Azure",17,Michael Tolan
Microsoft,Take action on Azure Sentinel alerts depending on severity level,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",30,Shaun Finn
Microsoft,Investigate and enrich suspicious Office 365 login Elastic alerts,"Elastic, Microsoft",20,null
Microsoft,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"BambooHR, Google, Microsoft, Microsoft Teams, Okta",11,null
Microsoft,Retrieve and remediate Cyera issues,"Cyera, Microsoft, Microsoft Azure, Microsoft OneDrive",45,Monolithic Power Systems
Microsoft,Create new Azure AD users via a form,"Jira Software, Microsoft, Microsoft Azure",10,Shaun Finn
Microsoft,Enrich Microsoft security update CVEs with Recorded Future,"Microsoft, Recorded Future",18,Derek Wohlfahrt
Microsoft,Authenticate to Microsoft Graph through multiple user identities with Tines Pages,Microsoft,8,Matthew
Microsoft,Review Azure Activity Reports for inactive user and licenses,"Microsoft, Microsoft Azure",12,Conor Dunne
Microsoft,Approve user access to Okta or Office 365 using Pages,"Jira Software, Microsoft, Okta, Slack",44,null
Microsoft,Using the Microsoft Office 365 management API to view audit logs,Microsoft,9,null
Microsoft,Delete an email from a specified user's mailbox,Microsoft,4,null
Microsoft,Analyze files with VMRay,"Microsoft, Microsoft Teams, Slack, VMRay",31,null
Microsoft,Receive Azure Sentinel alerts and block IPs with firewall rules,"Microsoft, Microsoft Azure",15,Conor Dunne
Microsoft,Find and reboot devices with failed Microsoft Intune updates,"Microsoft, Microsoft Azure",6,Conor Dunne
Microsoft,Send multifactor push prompt in Azure Entra ID,Microsoft,20,Nathan Collings
Microsoft,Communicate across channels in Microsoft Teams and Slack,"Microsoft, Microsoft Teams, Slack",15,Michael Tolan
Microsoft,Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"CrowdStrike, Jira Software, Microsoft, Microsoft Azure",24,null
Microsoft,Add Notion database entries as Outlook calendar events,"Microsoft, Microsoft Outlook, Notion",4,Michael Tolan
Microsoft,Update groups assigned to a user in Microsoft Entra ID,"Microsoft, Microsoft Azure",58,Michael Tolan
Microsoft,Retrieve and respond to Azure guest accounts detected by Wiz,"Microsoft, Microsoft Azure, Wiz",20,Conor Dunne
Microsoft,"Enrich CVE information using Microsoft, Recorded Future, CIRCL and GreyNoise","GreyNoise, Microsoft, Recorded Future",6,Michael Tolan
Microsoft,Read unread emails & analyze any URLs mentioned,"Microsoft, ServiceNow, URLScan.io",22,Shaun Finn
Microsoft,Retrieve emails from Outlook and add the details to a Microsoft OneDrive spreadsheet,"Microsoft, Microsoft OneDrive",9,Conor Dunne
Microsoft,Send SMS with Twilio if assigned to a Case in Tines,"Microsoft, Tines, Twilio",15,Michael Tolan
Microsoft,Deallocate and delete unnecessary virtual machines in Azure and raise tickets,"Jira Software, Microsoft, Microsoft Azure",27,Michael Tolan
Microsoft,SIGMA converter for YAML,"Microsoft, Splunk",10,Nathan Collings
Microsoft,Add user to Entra ID,"Microsoft, Microsoft Azure",11,null
Microsoft,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
Microsoft,Manage Sharepoint sites,"Jira Software, Microsoft, Microsoft Teams",20,Shaun Finn
Microsoft,Save attachments from emails in Microsoft Outlook to Microsoft OneDrive,"Microsoft, Microsoft OneDrive",6,Conor Dunne
Microsoft,Disable a user in Duo Security and Azure Entra ID while alerting PagerDuty,"Duo Security, Microsoft, PagerDuty",12,null
Microsoft,Create many new Microsoft Entra ID users using Tines pages,"Microsoft, Microsoft Azure",16,Conor Dunne
Microsoft,Create dynamic groups in Azure Active Directory,"Microsoft, Microsoft Azure",14,null
Microsoft,Track Google search trends using SerpApi and save to OneDrive,"Google, Microsoft, Microsoft OneDrive, SerpApi",10,Michael Tolan
Microsoft,Convert a Tines case to a Microsoft Word document with TurboDocX,"Microsoft, TurboDocx",13,Aaron Sandow
Microsoft,Email template personalization using Microsoft Outlook,Microsoft,8,Aeon Psych
Microsoft,Manage Microsoft Teams chat membership,"Microsoft, Microsoft Teams",18,Nathan Collings
Microsoft,Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,"Jira Software, Microsoft, Microsoft Azure, Slack",10,Michael Tolan
VirusTotal,"Analyze phishing email senders, URLs, & attachments","EmailRep, Sublime Security, URLScan.io, VirusTotal",51,null
VirusTotal,Analyze CrowdStrike detections,"CrowdStrike, Jira Software, Slack, VirusTotal",13,null
VirusTotal,Analyze a file in VirusTotal,VirusTotal,21,null
VirusTotal,Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
VirusTotal,Analyze domains through multiple sources,"URLScan.io, VirusTotal",16,null
VirusTotal,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
VirusTotal,Triage Material Security cases via Slack,"Jira Software, Material Security, Slack, Tines, VirusTotal",27,Shasheen Bandodkar
VirusTotal,Tag Outlook Emails in a Folder Based on VirusTotal Scan Results,"Microsoft Outlook, VirusTotal",8,Sabrina de Silva
VirusTotal,Investigate Phishing emails with Proofpoint CLEAR and Tines,"Proofpoint, URLScan.io, VirusTotal",86,John Vasanth
VirusTotal,Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
VirusTotal,Analyze a hash in VirusTotal,VirusTotal,15,Michael Tolan
VirusTotal,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
VirusTotal,Identify and remediate malicious SentinelOne threats with VirusTotal,"Jira Software, SentinelOne, VirusTotal",40,null
VirusTotal,Analyse an IP address,"Shodan, VirusTotal",5,Conor Dunne
VirusTotal,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
VirusTotal,Create an IP enrichment API,"GreyNoise, Pulsedive, VirusTotal",6,null
VirusTotal,Enrich & remediate suspicious logins reported in Okta,"AbuseIPDB, Okta, Slack, VirusTotal",14,Derek Wohlfahrt
VirusTotal,Analyze and triage suspicious emails across tools and Tines cases,"CrowdStrike, EmailRep, Tines, URLScan.io, VirusTotal",65,Michael Tolan
VirusTotal,Analyze domains via slash command in Microsoft Teams,"Microsoft Teams, VirusTotal",10,null
VirusTotal,Submit URL for analysis via Slackbot and return screenshot of results,"Slack, URLScan.io, VirusTotal",9,null
VirusTotal,Monitor US-CERT for IOCs and block dynamically,VirusTotal,14,null
VirusTotal,Search IOCs on webpages in VirusTotal and Circl CVE,VirusTotal,45,Conor Dunne
VirusTotal,Retrieve files from devices in CrowdStrike,"CrowdStrike, VirusTotal",47,Conor Dunne
VirusTotal,Investigate EDR alerts from Carbon Black,"Jira Software, PagerDuty, VirusTotal",11,Shaun Finn
VirusTotal,Search and Update Splunk Notable with VirusTotal Enrichment with case management and Microsoft Teams notification,"Microsoft Teams, Splunk, VirusTotal",18,null
VirusTotal,Retrieve Proofpoint events and log issues in Jira,"EmailRep, Jira Software, Proofpoint, URLScan.io, VirusTotal",11,Michael Tolan
VirusTotal,Run a query in Snowflake,"Slack, Snowflake, VirusTotal, Zendesk",5,null
VirusTotal,Triage email attachments with Material Security,"Material Security, VirusTotal",13,null
VirusTotal,Receive enriched IP information via Slack,"AbuseIPDB, GreyNoise, Slack, VirusTotal",6,Aaron Sandow
VirusTotal,Analyze SMS phishing with the AI action,"MISP, Slack, URLScan.io, VirusTotal",33,Michael Fischler
VirusTotal,Enrich CrowdStrike incidents with VirusTotal & send to TheHive,"CrowdStrike, TheHive Project, VirusTotal",25,Conor Dunne
VirusTotal,Add suspicious domains to Google Chronicle reference list,"Google, VirusTotal",5,null
VirusTotal,Enrich OpenCTI malware analysis with VirusTotal observables,"OpenCTI, VirusTotal",21,Conor Dunne
VirusTotal,Respond to a CrowdStrike detection in ServiceNow,"CrowdStrike, VirusTotal",28,null
VirusTotal,Investigate and remediate multiple denied MFA push requests in Okta,"IPQualityScore, Microsoft Teams, Okta, Tines, VirusTotal",31,Claudia Kinsella
VirusTotal,"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","AbuseIPDB, Extrahop, Microsoft Teams, URLScan.io, VirusTotal, Zscaler",15,null
VirusTotal,"Process CrowdStrike detections, check hashes in VirusTotal, and create tickets in IRIS","CrowdStrike, IRIS, VirusTotal",16,Michael Tolan
VirusTotal,Manage access to web pages with Island browser,"Island, VirusTotal",21,Conor Dunne
VirusTotal,Create VirusTotal domain reputation summaries using NVIDIA AI,"NVIDIA, Slack, VirusTotal",18,Conor Dunne
VirusTotal,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
VirusTotal,Lookup a file in VirusTotal,VirusTotal,26,Conor Dunne
VirusTotal,Process & enrich Cylance detections,"Cylance, Slack, VirusTotal, Zendesk",29,null
VirusTotal,Enrich IPs with VirusTotal Enterprise,VirusTotal,8,null
VirusTotal,Analyze email attachment hashes from Sublime Security with VirusTotal,"Jira Software, Sublime Security, VirusTotal",33,Michael Tolan
VirusTotal,Retrieve blocked DNS queries from AdGuard and enrich with VirusTotal and LimaCharlie,"AdGuard, LimaCharlie, VirusTotal",15,Conor Dunne
VirusTotal,Standardize and enrich EDR alerts across platforms,"CrowdStrike, Jira Software, Slack, VirusTotal",26,Shaun Finn
VirusTotal,Manage alerts from Vorlon with Tines cases and records,"VirusTotal, Vorlon",38,Anil
VirusTotal,"Analyze, document and triage suspicious emails with Tines cases and records","AlienVault OTX, Anomali ThreatStream, CrowdStrike, Hybrid Analysis, NextDNS, PassiveTotal, VirusTotal",113,Rosie Halpin
Microsoft Azure,Enrich cases with Azure Log Analytics using agents,"Microsoft Azure, Tines",13,Michael Tolan
Microsoft Azure,Handle a suspicious login with a response timeout,Microsoft Azure,9,Emily Nguyen
Microsoft Azure,Add a new user in Microsoft Entra ID,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",6,Michael Tolan
Microsoft Azure,Add new employees to BambooHR and manage system access,"BambooHR, Google, Microsoft Azure, Okta, Slack",17,Michael Tolan
Microsoft Azure,Query Log Analytics for Azure Sentinel alerts,"Microsoft, Microsoft Azure",5,null
Microsoft Azure,Disable accounts in Microsoft Entra ID,"Jira Software, Microsoft Azure",14,null
Microsoft Azure,Invalidate user's password in Azure Active Directory,"Microsoft, Microsoft Azure",9,null
Microsoft Azure,Invalidate authentication sessions for a user in Azure Entra ID,"Microsoft, Microsoft Azure",17,Michael Tolan
Microsoft Azure,Take action on Azure Sentinel alerts depending on severity level,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",30,Shaun Finn
Microsoft Azure,Retrieve and remediate Cyera issues,"Cyera, Microsoft, Microsoft Azure, Microsoft OneDrive",45,Monolithic Power Systems
Microsoft Azure,Create new Azure AD users via a form,"Jira Software, Microsoft, Microsoft Azure",10,Shaun Finn
Microsoft Azure,Review Azure Activity Reports for inactive user and licenses,"Microsoft, Microsoft Azure",12,Conor Dunne
Microsoft Azure,Add IOCs from Pulsedive to Azure Sentinel,"Microsoft Azure, Pulsedive",5,null
Microsoft Azure,Retrieve new alerts from Microsoft Defender and create issues in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",21,Michael Tolan
Microsoft Azure,Monitor Azure AD MFA fraud alerts and track in Jira,Microsoft Azure,10,Nate Adams
Microsoft Azure,Receive Azure Sentinel alerts and block IPs with firewall rules,"Microsoft, Microsoft Azure",15,Conor Dunne
